City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
512,pacific grove,36.6177,-121.9166,13.14,96,75,0.0,US,1697381511
513,colac,-38.3333,143.5833,10.09,97,100,5.53,AU,1697381590
514,puerto san jose,13.9256,-90.8244,27.92,80,12,1.29,GT,1697381590
515,cascais,38.6979,-9.4215,23.92,92,40,7.15,PT,1697381590
516,quellon,-43.1167,-73.6167,9.53,76,100,0.94,CL,1697381590
517,kananga,-5.8958,22.4178,28.18,55,100,1.14,CD,1697381590
518,shenjiamen,29.9576,122.298,20.97,67,72,4.11,CN,1697381590
519,mengcheng chengguanzhen,33.2661,116.566,19.47,39,0,1.37,CN,1697381591
520,esfarayen,37.0765,57.5101,13.81,43,1,1.64,IR,1697381591
521,eyl,7.9803,49.8164,27.88,77,47,5.64,SO,1697381591
